Topic,Keywords,Topic_Label
0,"['network', 'network analysis', 'social', 'social network', 'networks', 'criminal', 'crime', 'drug', 'gang', 'structure']",Social Criminal Network Structure Analysis
1,"['bullying', 'victimization', 'adolescents', 'social', 'peer', 'network', 'were', 'school', 'students', 'friends']",Social Peer Networks: Adolescent Bullying & Victimization in School
2,"['artificial intelligence', 'artificial', 'legal', 'ai', 'criminal', 'law', 'of artificial', 'liability', 'of ai', 'human']",Artificial Intelligence Legal Liability
3,"['crime', 'mining', 'data mining', 'prediction', 'crimes', 'clustering', 'crime analysis', 'police', 'crime data', 'crime prediction']",Crime Mining & Prediction Clustering (Police Data Analysis)
4,"['age', 'estimation', 'sex', 'forensic', 'age estimation', 'dental', 'were', 'accuracy', 'sex estimation', 'radiographs']",Forensic Age and Sex Estimation from Dental Radiographs
5,"['laundering', 'financial', 'money', 'money laundering', 'blockchain', 'transactions', 'aml', 'antimoney laundering', 'antimoney', 'smart']",Antimoney Laundering in Smart Blockchain Transactions
6,"['surveillance', 'detection', 'video', 'deep', 'deep learning', 'recognition', 'system', 'neural', 'object', 'abnormal']",Deep Video Surveillance System Using Neural Object Recognition
7,"['fairness', 'bias', 'recidivism', 'models', 'algorithmic', 'fair', 'ml', 'prediction', 'algorithmic fairness', 'justice']",Algorithmic Fairness in Criminal Justice ML Prediction Models
8,"['deepfake', 'deepfakes', 'deepfake detection', 'detection', 'face', 'fake', 'images', 'deep', 'videos', 'deep learning']",Deep Learning-Based Deepfake Detection for Images and Videos (Face)
9,"['legal', 'prediction', 'judgment', 'text', 'cases', 'court', 'word', 'neural', 'ontology', 'language']",Neural Text Analysis for Legal Judgments
10,"['crime', 'spatial', 'urban', 'patterns', 'prediction', 'spatiotemporal', 'of crime', 'theft', 'hotspot', 'city']",Spatiotemporal Urban Crime Pattern Prediction (Theft Hotspots)
11,"['forensic', 'ai', 'digital', 'forensics', 'digital forensics', 'artificial intelligence', 'artificial', 'investigations', 'in forensic', 'of forensic']",Digital Forensics AI Investigations
12,"['big', 'big data', 'of big', 'investigation', 'hadoop', 'security', 'analytics', 'data and', 'interrogation', 'personal']",Big Data Investigation & Analytics (Security Focus)
13,"['ai', 'justice', 'criminal justice', 'design', 'algorithmic', 'algorithms', 'criminal', 'decisions', 'public', 'human']",AI in Criminal Justice Algorithm Design for Public Decisions
14,"['phishing', 'malicious', 'urls', 'phishing attacks', 'detection', 'phishing detection', 'url', 'attacks', 'websites', 'of phishing']",Phishing URL Detection
15,"['predictive', 'predictive policing', 'policing', 'of predictive', 'police', 'crime', 'algorithms', 'policy', 'about', 'police work']",Predictive Policing Algorithms in Police Work & Policy
16,"['language', 'text', 'natural language', 'language processing', 'natural', 'processing', 'police', 'crime', 'nlp', 'corpus']",Natural Language Crime Corpus Processing
17,"['intrusion', 'intrusion detection', 'detection', 'security', 'cyber', 'ids', 'network', 'attacks', 'system', 'systems']",Network Security Systems - Intrusion Detection
18,"['deep', 'forensic', 'postmortem', 'images', 'deep learning', 'was', 'were', 'gunshot', 'in forensic', 'neural']",Deep Forensic Postmortem Image Analysis with Deep Learning
19,"['cybersecurity', 'cyber', 'threat', 'security', 'artificial', 'artificial intelligence', 'ai', 'medical', 'threats', 'smes']",Artificial Intelligence for Cybersecurity Threats in SMEs (Medical)
