title,abstract,keywords,year,cleaned
"From genies performing magic to sages imparting wisdom: a value-centred
survey of music AI user interfaces, creative affordances and artist
objectives","There are, at present, multiple fronts of debate about the ethics of
Commercial Creative AI (ComCAI) product development. The issues of
copyright and the right to know the AI provenance of work are dominant
and well-defined. Meanwhile, a significant area of debate is trickier to
define and analyse, relating to ComCAI's impact on the intrinsic values
and virtues of human creative endeavour. In this paper, I analyse this
impact by surveying the emerging landscape of user interfaces (UIs) in
the domain of commercial music AI products. I do this through a
value-centred design lens, considering how it is possible to articulate
intrinsic values in the arts. Specifically, I select two artistic
objectives: the need for creative artists to create works that are
differentiated from others; the need for deep cognitive creative
engagement with the work being created. I ask how ComCAI UIs can enable
these artistic objectives, first through a survey of UI types and their
combination in products, second through user feature requests. This
design analysis tentatively suggests that those ComCAI tools promising
to support artists increasingly need to provide greater control, in
order to satisfy their creative users, and this is focussed towards
either simply allowing post-generation editing, or improving generative
control, which is in tension with the opaque nature of the generative
systems. I propose that a value-centred design approach that highlights
values such as differentiation and creative engagement helps to identify
under-explored design spaces which have the potential to make better
music AI experiences.","Music AI; commercial creative AI; value-centred design; user interface
design",2024,"From genies performing magic to sages imparting wisdom: a value-centred
survey of music AI user interfaces, creative affordances and artist
objectives There are, at present, multiple fronts of debate about the ethics of
Commercial Creative AI (ComCAI) product development. The issues of
copyright and the right to know the AI provenance of work are dominant
and well-defined. Meanwhile, a significant area of debate is trickier to
define and analyse, relating to ComCAI's impact on the intrinsic values
and virtues of human creative endeavour. In this paper, I analyse this
impact by surveying the emerging landscape of user interfaces (UIs) in
the domain of commercial music AI products. I do this through a
value-centred design lens, considering how it is possible to articulate
intrinsic values in the arts. Specifically, I select two artistic
objectives: the need for creative artists to create works that are
differentiated from others; the need for deep cognitive creative
engagement with the work being created. I ask how ComCAI UIs can enable
these artistic objectives, first through a survey of UI types and their
combination in products, second through user feature requests. This
design analysis tentatively suggests that those ComCAI tools promising
to support artists increasingly need to provide greater control, in
order to satisfy their creative users, and this is focussed towards
either simply allowing post-generation editing, or improving generative
control, which is in tension with the opaque nature of the generative
systems. I propose that a value-centred design approach that highlights
values such as differentiation and creative engagement helps to identify
under-explored design spaces which have the potential to make better
music AI experiences. Music AI; commercial creative AI; value-centred design; user interface
design"
"Generating Music, AI and Energy","This article explores the intersection of artificial intelligence and
music, focusing on the conceptual foundations of AI in music generation.
It underscores the technological advancements and limitations of AI in
capturing the nu-anced elements of traditional music composition. The
article addresses the broader implications of utilizing AI, in-cluding
the significant energy consumption involved in training and operating
these models. It critically examines the sustainability of AI-driven
music production against the backdrop of cultural, ecological, and
economic consid-erations. By providing insights into both the technical
and aesthetical aspects of AI in music, the article offers an overview
that aids in understanding the potential and challenges of integrating
AI into the creative process, while al-so considering the evolving role
of music in human societies.","artificial intelligence; music generation; cultural authenticity; energy
consumption; autonomous procedures",2025,"Generating Music, AI and Energy This article explores the intersection of artificial intelligence and
music, focusing on the conceptual foundations of AI in music generation.
It underscores the technological advancements and limitations of AI in
capturing the nu-anced elements of traditional music composition. The
article addresses the broader implications of utilizing AI, in-cluding
the significant energy consumption involved in training and operating
these models. It critically examines the sustainability of AI-driven
music production against the backdrop of cultural, ecological, and
economic consid-erations. By providing insights into both the technical
and aesthetical aspects of AI in music, the article offers an overview
that aids in understanding the potential and challenges of integrating
AI into the creative process, while al-so considering the evolving role
of music in human societies. artificial intelligence; music generation; cultural authenticity; energy
consumption; autonomous procedures"
"Cyborg synchrony: integrating human physiology into affective generative
music AI","As artificial intelligence (AI) systems become increasingly integrated
into human social environments, their ability to foster meaningful
interaction remains an open challenge. Building on research showing that
physiological synchrony relates to social bonding, we speculate about an
interpersonal musical biofeedback system that promotes synchrony by
allowing users to attune to each other's physiological rhythms. We
propose a two-stage AI training framework for an interpersonal musical
biofeedback system: (1) a Foundational Model trained on diverse
listeners' physiological responses to a music library, and (2)
Individualized Tuning, where the system fine-tunes itself to each user's
unique physiological responses. By analyzing musical features alongside
real-time physiological responses, the proposed system illustrates a
feasible architecture for dynamically personalizing music to facilitate
nonverbal, embodied communication between users. This approach
highlights the potential for AI-driven personalization that move beyond
individual optimization to actively enhance physiological synchrony
which may promote deeper emotional bonding and expand the role of music
as a medium for AI-mediated social connections.","artificial intelligence; biofeedback; EEG; synchrony; biosensors;
musical neurofeedback; affective generative music",2025,"Cyborg synchrony: integrating human physiology into affective generative
music AI As artificial intelligence (AI) systems become increasingly integrated
into human social environments, their ability to foster meaningful
interaction remains an open challenge. Building on research showing that
physiological synchrony relates to social bonding, we speculate about an
interpersonal musical biofeedback system that promotes synchrony by
allowing users to attune to each other's physiological rhythms. We
propose a two-stage AI training framework for an interpersonal musical
biofeedback system: (1) a Foundational Model trained on diverse
listeners' physiological responses to a music library, and (2)
Individualized Tuning, where the system fine-tunes itself to each user's
unique physiological responses. By analyzing musical features alongside
real-time physiological responses, the proposed system illustrates a
feasible architecture for dynamically personalizing music to facilitate
nonverbal, embodied communication between users. This approach
highlights the potential for AI-driven personalization that move beyond
individual optimization to actively enhance physiological synchrony
which may promote deeper emotional bonding and expand the role of music
as a medium for AI-mediated social connections. artificial intelligence; biofeedback; EEG; synchrony; biosensors;
musical neurofeedback; affective generative music"
"Copyright, compensation, and commons in the music AI industry","Since 2015 a number of startups has emerged seeking to commercialise
music AI. Two types of firm stand out. One markets services directly to
consumers, in the form of adaptive music that responds to contextual
and/or activity-related cues; another group markets AI-generated music
to cultural producers, in the form of algorithmically-generated,
royalty-free production music. Initiatives like these have generated
debate among legal scholars about notions of copyright and authorship.
But until recently discussion has focused on who (or what) should be
awarded rights over the products of so-called `expressive AI': Its
programmers? Its users? Or the AI itself? Largely overlooked in such
debates is the status of another repertoire: not the music put out by an
AI, but that which is put into it, the music that constitutes the
training set necessary for machine learners to learn. Given the massive
datasets mobilised to train machine learners, existing copyright regimes
prove inadequate in the face of the questions of distributive justice
that such commercial systems raise. Specifically, commercial practices
premised on the extraction of value from a special kind of common-pool
resource - the shared knowledge of a given music community - demand
remedies grounded not in the methodological individualism of copyright
law, but commons-based responses instead. As such, the article sketches
a couple of alternative models (levy-based trust funds, ownership funds)
that could provide a more equitable institutional and economic framework
for sustaining the musical commons.",Music; artificial intelligence; machine learning; copyright; commons,2021,"Copyright, compensation, and commons in the music AI industry Since 2015 a number of startups has emerged seeking to commercialise
music AI. Two types of firm stand out. One markets services directly to
consumers, in the form of adaptive music that responds to contextual
and/or activity-related cues; another group markets AI-generated music
to cultural producers, in the form of algorithmically-generated,
royalty-free production music. Initiatives like these have generated
debate among legal scholars about notions of copyright and authorship.
But until recently discussion has focused on who (or what) should be
awarded rights over the products of so-called `expressive AI': Its
programmers? Its users? Or the AI itself? Largely overlooked in such
debates is the status of another repertoire: not the music put out by an
AI, but that which is put into it, the music that constitutes the
training set necessary for machine learners to learn. Given the massive
datasets mobilised to train machine learners, existing copyright regimes
prove inadequate in the face of the questions of distributive justice
that such commercial systems raise. Specifically, commercial practices
premised on the extraction of value from a special kind of common-pool
resource - the shared knowledge of a given music community - demand
remedies grounded not in the methodological individualism of copyright
law, but commons-based responses instead. As such, the article sketches
a couple of alternative models (levy-based trust funds, ownership funds)
that could provide a more equitable institutional and economic framework
for sustaining the musical commons. Music; artificial intelligence; machine learning; copyright; commons"
"How Music AI Is Useful Engagements with Composers, Performers and
Audiences","Critical but often overlooked research questions in artificial
intelligence applied to music involve the impact of the results for
music. How and to what extent does such research contribute to the
domain of music? How are the resulting models useful for music
practitioners? This article describes work arising from research
engaging with composers, musicians and audiences to address such
questions: two websites that make their AI models accessible to a wide
audience and a professionally recorded album released to expert
reviewers to gauge the plausibility of AI-generated material. The
authors describe the use of their models as tools for cocreation.
Evaluating AI research and music models in such ways illuminates their
impact on music-making.",,2021,"How Music AI Is Useful Engagements with Composers, Performers and
Audiences Critical but often overlooked research questions in artificial
intelligence applied to music involve the impact of the results for
music. How and to what extent does such research contribute to the
domain of music? How are the resulting models useful for music
practitioners? This article describes work arising from research
engaging with composers, musicians and audiences to address such
questions: two websites that make their AI models accessible to a wide
audience and a professionally recorded album released to expert
reviewers to gauge the plausibility of AI-generated material. The
authors describe the use of their models as tools for cocreation.
Evaluating AI research and music models in such ways illuminates their
impact on music-making."
"AI Performer Bias: Listeners Like Music Less When They Think it was
Performed by an AI","Contextual information can shape the aesthetic judgements of music
compositions. Recently, a study proposed the existence of an AI composer
bias; namely, listeners tend to like music less when they think (or are
told) that it was composed by an AI. In this online study (N = 120), we
used a cross-over experimental design to verify whether such bias
extends to audiovisual music performance. The participants rated three
videos of classic piano music performances in two versions with
identical audio: one with a professional pianist who pretended to play,
and one with the piano playing automatically, allegedly thanks to an AI.
As hypothesised, the participants rated the performances as more
likeable, engaging, higher in emotional valence, and of higher quality
when the pieces were ``performed{''} by the pianist. Notably, these
effects were insensitive to the participants' musical expertise but
moderated by their attitudes toward AI. Interestingly, when asked what
differences they had found between the two renditions, the participants
confabulated about differences in rhythm, tempo variations, dynamics,
and dissonances, pointing to underlying psychological processes, such as
expectations and beliefs about humanness. Implications for Aesthetics
and the Psychology of Art are discussed.",AI; music; artificial intelligence; liking; aesthetics; performance,2025,"AI Performer Bias: Listeners Like Music Less When They Think it was
Performed by an AI Contextual information can shape the aesthetic judgements of music
compositions. Recently, a study proposed the existence of an AI composer
bias; namely, listeners tend to like music less when they think (or are
told) that it was composed by an AI. In this online study (N = 120), we
used a cross-over experimental design to verify whether such bias
extends to audiovisual music performance. The participants rated three
videos of classic piano music performances in two versions with
identical audio: one with a professional pianist who pretended to play,
and one with the piano playing automatically, allegedly thanks to an AI.
As hypothesised, the participants rated the performances as more
likeable, engaging, higher in emotional valence, and of higher quality
when the pieces were ``performed{''} by the pianist. Notably, these
effects were insensitive to the participants' musical expertise but
moderated by their attitudes toward AI. Interestingly, when asked what
differences they had found between the two renditions, the participants
confabulated about differences in rhythm, tempo variations, dynamics,
and dissonances, pointing to underlying psychological processes, such as
expectations and beliefs about humanness. Implications for Aesthetics
and the Psychology of Art are discussed. AI; music; artificial intelligence; liking; aesthetics; performance"
MAICO: A Visualization Design Study on AI-Assisted Music Composition,"We contribute a design study on using visual analytics for AI-assisted
music composition. The main result is the interface MAICO (Music AI
Co-creativity), which allows composers and other music creators to
interactively generate, explore, select, edit, and compare samples from
generative music models. MAICO is based on the idea of visual parameter
space analysis and supports the simultaneous analysis of hundreds of
short samples of symbolic music from multiple models, displaying them in
different metric- and similarity-based layouts. We developed and
evaluated MAICO together with a professional composer who actively used
it for five months to create, among other things, a composition for the
Biennale Arte 2024 in Venice, which was recorded by the Munich Symphonic
Orchestra. We discuss our design choices and lessons learned from this
endeavor to support Human-AI co-creativity with visual analytics.","Music; Artificial intelligence; Analytical models; Data visualization;
Data models; Visual analytics; Aerospace electronics; Training;
Generative AI; Computational modeling; music retrieval and generation;
human-computer interaction; artificial intelligence; design studies;
visualization",2025,"MAICO: A Visualization Design Study on AI-Assisted Music Composition We contribute a design study on using visual analytics for AI-assisted
music composition. The main result is the interface MAICO (Music AI
Co-creativity), which allows composers and other music creators to
interactively generate, explore, select, edit, and compare samples from
generative music models. MAICO is based on the idea of visual parameter
space analysis and supports the simultaneous analysis of hundreds of
short samples of symbolic music from multiple models, displaying them in
different metric- and similarity-based layouts. We developed and
evaluated MAICO together with a professional composer who actively used
it for five months to create, among other things, a composition for the
Biennale Arte 2024 in Venice, which was recorded by the Munich Symphonic
Orchestra. We discuss our design choices and lessons learned from this
endeavor to support Human-AI co-creativity with visual analytics. Music; Artificial intelligence; Analytical models; Data visualization;
Data models; Visual analytics; Aerospace electronics; Training;
Generative AI; Computational modeling; music retrieval and generation;
human-computer interaction; artificial intelligence; design studies;
visualization"
"AI-Enabled Text-to-Music Generation: A Comprehensive Review of Methods,
Frameworks, and Future Directions","Text-to-music generation integrates natural language processing and
music generation, enabling artificial intelligence (AI) to compose music
from textual descriptions. While AI-enabled music generation has
advanced, challenges in aligning text with musical structures remain
underexplored. This paper systematically reviews text-to-music
generation across symbolic and audio domains, covering melody
composition, polyphony, instrumental synthesis, and singing voice
generation. It categorizes existing methods into traditional, hybrid,
and end-to-end LLM-centric frameworks according to the usage of large
language models (LLMs), highlighting the growing role of LLMs in
improving controllability and expressiveness. Despite progress,
challenges such as data scarcity, representation limitations, and
long-term coherence persist. Future work should enhance multi-modal
integration, improve model generalization, and develop more
user-controllable frameworks to advance AI-enabled music composition.","music generation; text-to-music generation; artificial intelligence;
large language model",2025,"AI-Enabled Text-to-Music Generation: A Comprehensive Review of Methods,
Frameworks, and Future Directions Text-to-music generation integrates natural language processing and
music generation, enabling artificial intelligence (AI) to compose music
from textual descriptions. While AI-enabled music generation has
advanced, challenges in aligning text with musical structures remain
underexplored. This paper systematically reviews text-to-music
generation across symbolic and audio domains, covering melody
composition, polyphony, instrumental synthesis, and singing voice
generation. It categorizes existing methods into traditional, hybrid,
and end-to-end LLM-centric frameworks according to the usage of large
language models (LLMs), highlighting the growing role of LLMs in
improving controllability and expressiveness. Despite progress,
challenges such as data scarcity, representation limitations, and
long-term coherence persist. Future work should enhance multi-modal
integration, improve model generalization, and develop more
user-controllable frameworks to advance AI-enabled music composition. music generation; text-to-music generation; artificial intelligence;
large language model"
"AI-Based Affective Music Generation Systems: A Review of Methods and
Challenges","Music is a powerful medium for altering the emotional state of the
listener. In recent years, with significant advancements in computing
capabilities, artificial intelligence-based (AI-based) approaches have
become popular for creating affective music generation (AMG) systems.
Entertainment, healthcare, and sensor-integrated interactive system
design are a few of the areas in which AI-based affective music
generation (AI-AMG) systems may have a significant impact. Given the
surge of interest in this topic, this article aims to provide a
comprehensive review of controllable AI-AMG systems. The main building
blocks of an AI-AMG system are discussed and existing systems are
formally categorized based on the core algorithm used for music
generation. In addition, this article discusses the main musical
features employed to compose affective music, along with the respective
AI-based approaches used for tailoring them. Lastly, the main challenges
and open questions in this field, as well as their potential solutions,
are presented to guide future research. We hope that this review will be
useful for readers seeking to understand the state-of-the-art in AI-AMG
systems and gain an overview of the methods used for developing them,
thereby helping them explore this field in the future.","Affect; emotion; music; generative AI; automatic music generation; deep
learning; machine learning",2024,"AI-Based Affective Music Generation Systems: A Review of Methods and
Challenges Music is a powerful medium for altering the emotional state of the
listener. In recent years, with significant advancements in computing
capabilities, artificial intelligence-based (AI-based) approaches have
become popular for creating affective music generation (AMG) systems.
Entertainment, healthcare, and sensor-integrated interactive system
design are a few of the areas in which AI-based affective music
generation (AI-AMG) systems may have a significant impact. Given the
surge of interest in this topic, this article aims to provide a
comprehensive review of controllable AI-AMG systems. The main building
blocks of an AI-AMG system are discussed and existing systems are
formally categorized based on the core algorithm used for music
generation. In addition, this article discusses the main musical
features employed to compose affective music, along with the respective
AI-based approaches used for tailoring them. Lastly, the main challenges
and open questions in this field, as well as their potential solutions,
are presented to guide future research. We hope that this review will be
useful for readers seeking to understand the state-of-the-art in AI-AMG
systems and gain an overview of the methods used for developing them,
thereby helping them explore this field in the future. Affect; emotion; music; generative AI; automatic music generation; deep
learning; machine learning"
"Exploring the Design of Generative AI in Supporting Music-based
Reminiscence for Older Adults","Music-based reminiscence has the potential to positively impact the
psychological well-being of older adults. However, the aging process and
physiological changes, such as memory decline and limited verbal
communication, may impede the ability of older adults to recall their
memories and life experiences. Given the advanced capabilities of
generative artificial intelligence (AI) systems, such as generated
conversations and images, and their potential to facilitate the
reminiscing process, this study aims to explore the design of generative
AI to support music-based reminiscence in older adults. This study
follows a user-centered design approach incorporating various stages,
including detailed interviews with two social workers and two design
workshops (involving ten older adults). Our work contributes to an
in-depth understanding of older adults' attitudes toward utilizing
generative AI for supporting music-based reminiscence and identifies
concrete design considerations for the future design of generative AI to
enhance the reminiscence experience of older adults.","Human-AI Interaction; Generative AI; Reminiscence; Music-based
Reminiscence; Older Adults",2024,"Exploring the Design of Generative AI in Supporting Music-based
Reminiscence for Older Adults Music-based reminiscence has the potential to positively impact the
psychological well-being of older adults. However, the aging process and
physiological changes, such as memory decline and limited verbal
communication, may impede the ability of older adults to recall their
memories and life experiences. Given the advanced capabilities of
generative artificial intelligence (AI) systems, such as generated
conversations and images, and their potential to facilitate the
reminiscing process, this study aims to explore the design of generative
AI to support music-based reminiscence in older adults. This study
follows a user-centered design approach incorporating various stages,
including detailed interviews with two social workers and two design
workshops (involving ten older adults). Our work contributes to an
in-depth understanding of older adults' attitudes toward utilizing
generative AI for supporting music-based reminiscence and identifies
concrete design considerations for the future design of generative AI to
enhance the reminiscence experience of older adults. Human-AI Interaction; Generative AI; Reminiscence; Music-based
Reminiscence; Older Adults"
