Topic,Keywords,Topic_Label
0,"['image', 'images', 'our', 'model', 'method', 'generation', 'network', 'characters', 'character', 'style']",Image Style Generation Model (Network for Characters)
1,"['media', 'production', 'japan', 'of japanese', 'article', 'global', 'cultural', 'industry', 'italy', 'this article']",Global Japanese Media Cultural Industry Comparison (Japan - Italy)
2,"['gender', 'characters', 'female', 'girl', 'queer', 'cosplay', 'media', 'animacy', 'magical', 'norms']",'Female and Queer Gender Representations in Magical Cosplay Media'
3,"['tourism', 'pilgrimage', 'anime tourism', 'tourists', 'otaku', 'japan', 'destination', 'cultural', 'anime pilgrimage', 'contents']",Cultural Anime Tourism in Japan (Destinations)
4,"['students', 'language', 'japanese language', 'learning', 'listening', 'learners', 'education', 'and anime', 'academic', 'english']",Academic Japanese Language Learning through Anime for English Learners
5,"['religious', 'cultural', 'spiritual', 'religion', 'article', 'theological', 'japan', 'one', 'oni', 'sermons']",'Japanese Religious Cultural Spiritual Sermons'
6,"['art', 'series', 'limited', 'his', 'article', 'lamarre', 'manga anime', 'be', 'movement', 'limited animation']",Limited Art Series: Lamarre on Manga Anime Movement
7,"['robot', 'robots', 'social', 'human', 'interaction', 'face', 'design', 'emotion', 'an anime', 'users']","Social Human-Robot Emotion Design (Interaction, Anime, Users)"
8,"['audio', 'recommendation', 'information', 'users', 'system', 'terms', 'retrieval', 'recommendations', 'using', 'genre']",'Audio Genre-based User Recommendation System'
9,"['reality', 'mecha', 'technology', 'robot', 'robot anime', 'virtual', 'lain', 'virtual reality', 'anime wong', 'wong']",Virtual Mecha Reality Anime
10,"['cultural', 'community', 'moral', 'digital', 'youth', 'identity', 'fans', 'media', 'consumption', 'ethical']",Digital Youth Identity & Ethics in Cultural Fan Communities
11,"['fan', 'fandom', 'cultural', 'fansubbing', 'consumption', 'cultural consumption', 'subtitling', 'conventions', 'fans', 'fansubs']",Fan Cultural Consumption and Subtitling
12,"['problematic', 'online anime', 'online', 'were', 'watching', 'parents', 'teenagers', 'consumers', 'use', 'children']",Online Anime Consumption among Parents and Teenagers
