title,abstract,keywords,year,cleaned,is_empty
"Novelty vs. trust in virtual influencers: exploring the effectiveness of
human-like virtual influencers and anime-like virtual influencers","This research explores influencer trustworthiness and stimulus novelty
as important paths for the effectiveness of virtual influencers. We
compare human-like virtual influencers (HVIs) and anime-like virtual
influencers (AVIs) operating either with sponsorship disclosure or
non-disclosure. In two experiments, we found that HVI (vs. AVIs)
produced higher content engagement and purchase intent via greater
influencer trustworthiness only when sponsorship was not disclosed. Upon
disclosure, the advantage of HVIs over AVIs disappeared. We also found
that the influencer's status, whether mega or micro, significantly
moderated the influence of sponsorship disclosure. Perceived novelty of
AVIs are consistently higher than HVIs, and perceived novelty mediates
the effect of the AVIs (vs. HVIs) on content engagement, but only when
sponsorship was disclosed. These findings offer important insights into
how virtual influencers may influence consumer engagement and purchase
decisions.","Virtual influencers; influencer trustworthiness; novelty; sponsorship
disclosure; purchase intent",2025,"Novelty vs. trust in virtual influencers: exploring the effectiveness of
human-like virtual influencers and anime-like virtual influencers This research explores influencer trustworthiness and stimulus novelty
as important paths for the effectiveness of virtual influencers. We
compare human-like virtual influencers (HVIs) and anime-like virtual
influencers (AVIs) operating either with sponsorship disclosure or
non-disclosure. In two experiments, we found that HVI (vs. AVIs)
produced higher content engagement and purchase intent via greater
influencer trustworthiness only when sponsorship was not disclosed. Upon
disclosure, the advantage of HVIs over AVIs disappeared. We also found
that the influencer's status, whether mega or micro, significantly
moderated the influence of sponsorship disclosure. Perceived novelty of
AVIs are consistently higher than HVIs, and perceived novelty mediates
the effect of the AVIs (vs. HVIs) on content engagement, but only when
sponsorship was disclosed. These findings offer important insights into
how virtual influencers may influence consumer engagement and purchase
decisions. Virtual influencers; influencer trustworthiness; novelty; sponsorship
disclosure; purchase intent",False
Anime tourism: a scoping literature review,"Anime tourism has received great interest from academics and
practitioners worldwide. Despite this growing attention, comprehensive
literature reviews on anime tourism remain scarce. This study conducted
a scoping review based on Arksey and O'Malley framework to map the scope
and trends of existing research on anime tourism. The research questions
were formulated using the PCC (Population, Concept, and Context)
mnemonic as the theoretical foundation. Based on predetermined inclusion
and exclusion criteria, 36 English-language peer-reviewed articles
published up to and including 2023 were selected from online databases.
The findings are presented in two parts: descriptive and thematic
analyses. The descriptive analysis revealed that most studies employed
qualitative approaches, were East Asia-focused, and visitor-oriented,
with anime location tourism (traveling to sites that appear in anime)
emerging as the dominant subject. The thematic analysis identified seven
key research themes: conceptual characteristics, destination image,
visitors' motivations, visitor activities, destination marketing,
relationships with copyright holders, and impacts on tourist
destinations. The study contributes by visually mapping the research
trends in anime tourism studies and highlights significant research
gaps, including conceptual ambiguities, methodological biases, and
limited theoretical integration. Finally, it provides implications for
advancing anime tourism research and destination marketing strategies.","Anime; anime tourism; scoping literature review; Tourism Research
Methods; Tourism; Tourism Behaviour; Tourism Management; Tourism
Marketing; Tourism Planning and Policy; The Tourism Industry; Niche
Tourism; Tourism and the Environment",2025,"Anime tourism: a scoping literature review Anime tourism has received great interest from academics and
practitioners worldwide. Despite this growing attention, comprehensive
literature reviews on anime tourism remain scarce. This study conducted
a scoping review based on Arksey and O'Malley framework to map the scope
and trends of existing research on anime tourism. The research questions
were formulated using the PCC (Population, Concept, and Context)
mnemonic as the theoretical foundation. Based on predetermined inclusion
and exclusion criteria, 36 English-language peer-reviewed articles
published up to and including 2023 were selected from online databases.
The findings are presented in two parts: descriptive and thematic
analyses. The descriptive analysis revealed that most studies employed
qualitative approaches, were East Asia-focused, and visitor-oriented,
with anime location tourism (traveling to sites that appear in anime)
emerging as the dominant subject. The thematic analysis identified seven
key research themes: conceptual characteristics, destination image,
visitors' motivations, visitor activities, destination marketing,
relationships with copyright holders, and impacts on tourist
destinations. The study contributes by visually mapping the research
trends in anime tourism studies and highlights significant research
gaps, including conceptual ambiguities, methodological biases, and
limited theoretical integration. Finally, it provides implications for
advancing anime tourism research and destination marketing strategies. Anime; anime tourism; scoping literature review; Tourism Research
Methods; Tourism; Tourism Behaviour; Tourism Management; Tourism
Marketing; Tourism Planning and Policy; The Tourism Industry; Niche
Tourism; Tourism and the Environment",False
Decolonising anime studies: a prolegomenon,"This paper argues that the field of Anglophone anime studies is not free
from decolonisation issues that warrant evaluation, especially from the
viewpoint of Orientalism proposed by Edward Said. Although more than two
decades have passed since anime became a popular subject for research
and teaching in Anglophone higher education institutions, critical
writings in the field are yet to fully examine the impact of Orientalism
on the ways in which they try to make intellectual sense of this area of
Japanese visual culture. This paper argues that the field of Anglophone
anime studies should itself be scrutinised in relation to how it
canonises a specific `style of thought' (as Said terms it) in
understanding anime at the expense of anime itself, against the
background of its (colonial) power over intellectuals and primary
sources in Japan/ese. Reviewing the major `canonical' Anglophone texts
in the field from the viewpoint of Orientalism, this paper highlights
that the issue of Orientalism remains an `elephant in the room', that
is, the issue is still persistently at work in the field, even as the
field itself disavows it as a critical, or even relevant, issue for
Anglophone anime studies. Reflecting ethno-autobiographically on the
author's own complexly liminal experience of navigating his academic
career through Anglophone and Japanophone academia, the paper further
reveals how this Orientalist `style of thought' subtly executes its
disciplinary power over academics as they try to secure their
intellectual as well as professional positions in the field of
Anglophone anime studies, and, in doing so, how the field normalises the
style's position of authority by appointing it, arbitrarily, as a
`sophisticated' approach towards anime.",animation; anime; decolonisation; orientalism; japan,2025,"Decolonising anime studies: a prolegomenon This paper argues that the field of Anglophone anime studies is not free
from decolonisation issues that warrant evaluation, especially from the
viewpoint of Orientalism proposed by Edward Said. Although more than two
decades have passed since anime became a popular subject for research
and teaching in Anglophone higher education institutions, critical
writings in the field are yet to fully examine the impact of Orientalism
on the ways in which they try to make intellectual sense of this area of
Japanese visual culture. This paper argues that the field of Anglophone
anime studies should itself be scrutinised in relation to how it
canonises a specific `style of thought' (as Said terms it) in
understanding anime at the expense of anime itself, against the
background of its (colonial) power over intellectuals and primary
sources in Japan/ese. Reviewing the major `canonical' Anglophone texts
in the field from the viewpoint of Orientalism, this paper highlights
that the issue of Orientalism remains an `elephant in the room', that
is, the issue is still persistently at work in the field, even as the
field itself disavows it as a critical, or even relevant, issue for
Anglophone anime studies. Reflecting ethno-autobiographically on the
author's own complexly liminal experience of navigating his academic
career through Anglophone and Japanophone academia, the paper further
reveals how this Orientalist `style of thought' subtly executes its
disciplinary power over academics as they try to secure their
intellectual as well as professional positions in the field of
Anglophone anime studies, and, in doing so, how the field normalises the
style's position of authority by appointing it, arbitrarily, as a
`sophisticated' approach towards anime. animation; anime; decolonisation; orientalism; japan",False
Japanese adaptation of the Anime Tourism Motivation Scales,"This study presents the Japanese translation of the Anime Tourism
Motivation Scale, which consists of 36 self-report questions and
provides subscale scores for anime social interest, anime seeking,
learning novelty, escape/relaxation and exploration into 2D world. The
translation was validated using 655 native Japanese speakers. The
results indicated excellent internal consistency and revisit intention
reliability. Confirmatory factor analysis revealed that the data of the
current study reasonably maintained the five-factor model structure of
the original version. The strengths of the scale are that it helps
tailor marketing strategies, enhances visitor experiences and supports
economic development. This inventory and its translations increasingly
contribute to research on tourism management, tourism policy and content
tourism; thus, the Japanese translation may further enhance research in
these areas.",Anime tourism; motivation; scale development; translation; Japan,2025,"Japanese adaptation of the Anime Tourism Motivation Scales This study presents the Japanese translation of the Anime Tourism
Motivation Scale, which consists of 36 self-report questions and
provides subscale scores for anime social interest, anime seeking,
learning novelty, escape/relaxation and exploration into 2D world. The
translation was validated using 655 native Japanese speakers. The
results indicated excellent internal consistency and revisit intention
reliability. Confirmatory factor analysis revealed that the data of the
current study reasonably maintained the five-factor model structure of
the original version. The strengths of the scale are that it helps
tailor marketing strategies, enhances visitor experiences and supports
economic development. This inventory and its translations increasingly
contribute to research on tourism management, tourism policy and content
tourism; thus, the Japanese translation may further enhance research in
these areas. Anime tourism; motivation; scale development; translation; Japan",False
"Exploring Strategies to Connect Foreign Language Education With People
Skills: Nurturing Intercultural Understanding Through the Rich Cultural
Tapestry of Japanese Anime","In today's globalized world, the importance of intercultural
understanding and interpersonal skills is increasingly emphasized. This
study focuses on linking foreign language education with intercultural
effectiveness and investigates the impact of using anime as a tool for
cultural understanding and the development of intercultural competence.
The course is an introductory Japanese culture course for non-Japanese
learners, designed to introduce Japanese culture and values while
encouraging students to deepen their understanding of their own
thoughts, values, and culture. The intercultural effectiveness scale
conducted before and after the 16-week anime course indicates
significant changes in students' self-awareness, world orientation,
relationship development, and emotional resilience-four of the six
dimensions of the intercultural effectiveness scale. The results suggest
that anime is not just a form of entertainment but also a valuable
educational resource that enhances students' intercultural competence.","foreign language teaching methodology; language acquisition; language
and the media; second/foreign language acquisition < child; teacher
education",2025,"Exploring Strategies to Connect Foreign Language Education With People
Skills: Nurturing Intercultural Understanding Through the Rich Cultural
Tapestry of Japanese Anime In today's globalized world, the importance of intercultural
understanding and interpersonal skills is increasingly emphasized. This
study focuses on linking foreign language education with intercultural
effectiveness and investigates the impact of using anime as a tool for
cultural understanding and the development of intercultural competence.
The course is an introductory Japanese culture course for non-Japanese
learners, designed to introduce Japanese culture and values while
encouraging students to deepen their understanding of their own
thoughts, values, and culture. The intercultural effectiveness scale
conducted before and after the 16-week anime course indicates
significant changes in students' self-awareness, world orientation,
relationship development, and emotional resilience-four of the six
dimensions of the intercultural effectiveness scale. The results suggest
that anime is not just a form of entertainment but also a valuable
educational resource that enhances students' intercultural competence. foreign language teaching methodology; language acquisition; language
and the media; second/foreign language acquisition < child; teacher
education",False
"Color Consistency Anime Style Transfer Based on Hybrid Structural
Decomposition Network","In the anime industry, character design frequently encounters challenges
such as oversimplification and homogenization, which severely restrict
the diversity and creativity of character appearances. To tackle these
issues, we introduce a Hybrid Structural Decomposition Network (HSDN)
that aims to generate anime characters with a realistic style by
learning the expressive techniques of traditional anime, thereby
providing valuable inspiration and references for designers. The
proposed HSDN utilizes an encoder to separately extract structural and
color features from input images. The structural features are then
processed by our style transfer sub-network, which is based on diffusion
models. Subsequently, the structural and color features are fused at
multiple scales, and a specially designed decoder is employed to
generate the final style-transferred image. Additionally, we have
incorporated specific skip connections to mitigate local detail loss
during image generation and to enhance the stability of the diffusion
process. Experimental results demonstrate that our proposed model not
only visually generates anime characters with realistic styles but also
achieves superior performance in terms of Style FID and Semantic FID
compared with state-of-the-art methods.","Noise; Noise reduction; Image color analysis; Feature extraction;
Diffusion models; Diffusion processes; Neural networks; Image synthesis;
Generative adversarial networks; Visualization; Style transfer;
structural decomposition; low-rank adaptation algorithm; feature fusion;
skip connection",2025,"Color Consistency Anime Style Transfer Based on Hybrid Structural
Decomposition Network In the anime industry, character design frequently encounters challenges
such as oversimplification and homogenization, which severely restrict
the diversity and creativity of character appearances. To tackle these
issues, we introduce a Hybrid Structural Decomposition Network (HSDN)
that aims to generate anime characters with a realistic style by
learning the expressive techniques of traditional anime, thereby
providing valuable inspiration and references for designers. The
proposed HSDN utilizes an encoder to separately extract structural and
color features from input images. The structural features are then
processed by our style transfer sub-network, which is based on diffusion
models. Subsequently, the structural and color features are fused at
multiple scales, and a specially designed decoder is employed to
generate the final style-transferred image. Additionally, we have
incorporated specific skip connections to mitigate local detail loss
during image generation and to enhance the stability of the diffusion
process. Experimental results demonstrate that our proposed model not
only visually generates anime characters with realistic styles but also
achieves superior performance in terms of Style FID and Semantic FID
compared with state-of-the-art methods. Noise; Noise reduction; Image color analysis; Feature extraction;
Diffusion models; Diffusion processes; Neural networks; Image synthesis;
Generative adversarial networks; Visualization; Style transfer;
structural decomposition; low-rank adaptation algorithm; feature fusion;
skip connection",False
The power of anime: using anime for education and outreach in STEM,"Anime is a powerful tool for science education and outreach, thanks to
its popularity among younger generations and its greater accessibility.
Anime conventions attract patrons from diverse generational,
educational, and professional backgrounds, presenting a unique
opportunity for public scholarship and for generating enthusiasm for
science education. Anime Expo (AX), an annual convention held around the
fourth of July in Los Angeles, is the largest anime convention in the
United States and one of the largest in the world. AX 2025 hosted
410,000 attendees from 65 different countries. This event features a
3-days symposium of academic panels from the Journal of Anime and Manga
Studies (JAMS). This work demonstrates that anime is a powerful tool for
science education and outreach. The introduction discusses anime's
tangible effects on global protest movements and the monetary and social
impact of anime conventions on attendees and their hosting cities. The
body of our work discusses how, for the past 3 years, ``The Physics of
Anime{''} panel has been presented at the JAMS@AX Symposium, and the
success of this panel has yielded an excellent example of public
scholarship and science outreach. Pre- and post- ``Physics of Anime{''}
panel surveys administered at the AX 2025 JAMS symposium revealed a
strong preference for using anime to teach Science, Technology,
Engineering, and Mathematics (STEM) concepts, especially among the
current target demographic (20-30-years-olds). Overall, the majority of
the survey participants expressed greater comfort with the subject
matter. Specific details of the survey are the subject of this work.","science education; public outreach; popular culture; STEM education;
anime; engagement",2025,"The power of anime: using anime for education and outreach in STEM Anime is a powerful tool for science education and outreach, thanks to
its popularity among younger generations and its greater accessibility.
Anime conventions attract patrons from diverse generational,
educational, and professional backgrounds, presenting a unique
opportunity for public scholarship and for generating enthusiasm for
science education. Anime Expo (AX), an annual convention held around the
fourth of July in Los Angeles, is the largest anime convention in the
United States and one of the largest in the world. AX 2025 hosted
410,000 attendees from 65 different countries. This event features a
3-days symposium of academic panels from the Journal of Anime and Manga
Studies (JAMS). This work demonstrates that anime is a powerful tool for
science education and outreach. The introduction discusses anime's
tangible effects on global protest movements and the monetary and social
impact of anime conventions on attendees and their hosting cities. The
body of our work discusses how, for the past 3 years, ``The Physics of
Anime{''} panel has been presented at the JAMS@AX Symposium, and the
success of this panel has yielded an excellent example of public
scholarship and science outreach. Pre- and post- ``Physics of Anime{''}
panel surveys administered at the AX 2025 JAMS symposium revealed a
strong preference for using anime to teach Science, Technology,
Engineering, and Mathematics (STEM) concepts, especially among the
current target demographic (20-30-years-olds). Overall, the majority of
the survey participants expressed greater comfort with the subject
matter. Specific details of the survey are the subject of this work. science education; public outreach; popular culture; STEM education;
anime; engagement",False
Instance-guided anime editing with a curated large-scale dataset,"Anime content, such as Japanese-style illustrations, manga, and
animation, is popular worldwide among diverse audiences. However,
editing and repurposing this content for an enhanced viewing experience
is complex and relies heavily on manual processes, due to the challenge
of automatically identifying individual character instances. Therefore,
automated and precise segmentation of these elements is essential to
enable various anime editing applications such as visual style editing,
motion decomposition and transfer, and depth estimation. Most
state-of-the-art segmentation methods are designed for natural
photographs and do not capture the intricate aesthetics of anime-style
characters, which reduces segmentation quality. The primary challenges
are the lack of high-quality anime-dedicated datasets and the absence of
competent models for high-resolution instance extraction on anime. To
address these issues, we introduce a high-quality dataset of over 100k
paired high-resolution anime-style images and their instance labeling
masks. We also present an instance-aware image segmentation model that
generates accurate, high-resolution segmentation masks for characters in
a wide variety of anime-style images. Furthermore, we show that our
approach supports segmentation-dependent editing applications such as 3D
Ken Burns effects, text-guided style editing, and puppet animation from
illustrations and manga.",Anime segmentation; Anime editing; Visual style manipulation,2025,"Instance-guided anime editing with a curated large-scale dataset Anime content, such as Japanese-style illustrations, manga, and
animation, is popular worldwide among diverse audiences. However,
editing and repurposing this content for an enhanced viewing experience
is complex and relies heavily on manual processes, due to the challenge
of automatically identifying individual character instances. Therefore,
automated and precise segmentation of these elements is essential to
enable various anime editing applications such as visual style editing,
motion decomposition and transfer, and depth estimation. Most
state-of-the-art segmentation methods are designed for natural
photographs and do not capture the intricate aesthetics of anime-style
characters, which reduces segmentation quality. The primary challenges
are the lack of high-quality anime-dedicated datasets and the absence of
competent models for high-resolution instance extraction on anime. To
address these issues, we introduce a high-quality dataset of over 100k
paired high-resolution anime-style images and their instance labeling
masks. We also present an instance-aware image segmentation model that
generates accurate, high-resolution segmentation masks for characters in
a wide variety of anime-style images. Furthermore, we show that our
approach supports segmentation-dependent editing applications such as 3D
Ken Burns effects, text-guided style editing, and puppet animation from
illustrations and manga. Anime segmentation; Anime editing; Visual style manipulation",False
"Enriching Emotional Expressiveness in Embodied Conversational Agents
Using Anime Effects","Embodied Conversational Agents (ECAs) can simulate human behaviors and
express natural emotions. To further enhance these emotional
expressions, we focused on applying attractive anime effects to the
ECAs. Anime effects are visual techniques that are mainly used in anime
production, encompassing a wide range of unique types and combinations.
Among these, we focused on anime effects that indirectly support and
enhance the emotions expressed by anime characters. If properly applied
to ECAs, it is expected to dramatically enhance their ability to express
emotion. However, the absence of established methods to apply diverse
anime effects to ECAs has constrained their emotional expressiveness.
Therefore, we proposed a system that automatically applies these diverse
anime effects to the ECAs. First, anime effects used in several anime
works were surveyed and organized according to visual, location, and
emotion types for application to ECAs. Utilizing the organized dataset,
a system was developed that automatically applies diverse anime effects
to an ECA according to its profile (gender and personality) and
emotions. The proposed system was evaluated with 21 participants using
two static use cases based on watching videos and with eight
participants using two interactive use cases using digital signage. The
results showed that the proposed system enhanced the intensity of
emotional expression of ECAs, suggesting an improvement in their
interactions with users. Additionally, the applied anime effects allowed
users to perceive differences in personality between the two ECAs.","Visual effects; Behavioral sciences; Robots; Emotion recognition; Market
research; Faces; Videos; Surveys; Production; Hands; Embodied
conversational agent; emotional communication; anime effect",2025,"Enriching Emotional Expressiveness in Embodied Conversational Agents
Using Anime Effects Embodied Conversational Agents (ECAs) can simulate human behaviors and
express natural emotions. To further enhance these emotional
expressions, we focused on applying attractive anime effects to the
ECAs. Anime effects are visual techniques that are mainly used in anime
production, encompassing a wide range of unique types and combinations.
Among these, we focused on anime effects that indirectly support and
enhance the emotions expressed by anime characters. If properly applied
to ECAs, it is expected to dramatically enhance their ability to express
emotion. However, the absence of established methods to apply diverse
anime effects to ECAs has constrained their emotional expressiveness.
Therefore, we proposed a system that automatically applies these diverse
anime effects to the ECAs. First, anime effects used in several anime
works were surveyed and organized according to visual, location, and
emotion types for application to ECAs. Utilizing the organized dataset,
a system was developed that automatically applies diverse anime effects
to an ECA according to its profile (gender and personality) and
emotions. The proposed system was evaluated with 21 participants using
two static use cases based on watching videos and with eight
participants using two interactive use cases using digital signage. The
results showed that the proposed system enhanced the intensity of
emotional expression of ECAs, suggesting an improvement in their
interactions with users. Additionally, the applied anime effects allowed
users to perceive differences in personality between the two ECAs. Visual effects; Behavioral sciences; Robots; Emotion recognition; Market
research; Faces; Videos; Surveys; Production; Hands; Embodied
conversational agent; emotional communication; anime effect",False
"Anime SIG Researching Japanese Animation From Technical, Cultural, and
Industrial Perspectives","Japanese animation, or anime for short, has attracted global attention
with its immense international growth. Despite its popularity, academic
research has been limited to media studies, with grand questions like
``what is anime,{''} i.e., observational and analytical perspectives,
and more recently in computer science from the perspective of ``how to
generate the anime look,{''} focusing on representing visual
characteristics with computer vision and machine learning methods. This
Special Interest Group (SIG) aims to deepen this multifaceted cultural
phenomenon from multidisciplinary perspectives, including ``who{''}
makes anime, ``how{''} creativity support tools can aid the process, and
``what{''} about non-visual aspects like anime voices. Organized by
experts from industry and academia, this SIG invites participants to the
emerging area of anime research and aims to open up a new alley for
human-computer interaction (HCI) research through collective discussion
on potential directions and community fostering of anime-interested
researchers.","anime; creativity support; interaction design; social science;
anthropology; psychology",2025,"Anime SIG Researching Japanese Animation From Technical, Cultural, and
Industrial Perspectives Japanese animation, or anime for short, has attracted global attention
with its immense international growth. Despite its popularity, academic
research has been limited to media studies, with grand questions like
``what is anime,{''} i.e., observational and analytical perspectives,
and more recently in computer science from the perspective of ``how to
generate the anime look,{''} focusing on representing visual
characteristics with computer vision and machine learning methods. This
Special Interest Group (SIG) aims to deepen this multifaceted cultural
phenomenon from multidisciplinary perspectives, including ``who{''}
makes anime, ``how{''} creativity support tools can aid the process, and
``what{''} about non-visual aspects like anime voices. Organized by
experts from industry and academia, this SIG invites participants to the
emerging area of anime research and aims to open up a new alley for
human-computer interaction (HCI) research through collective discussion
on potential directions and community fostering of anime-interested
researchers. anime; creativity support; interaction design; social science;
anthropology; psychology",False
