Topic,Keywords,Topic_Label
0,"['education', 'music education', 'students', 'learning', 'teaching', 'teachers', 'performance', 'academic', 'was', 'motivation']",'Motivation in Music Education Learning'
1,"['deep', 'learning', 'deep learning', 'lstm', 'networks', 'network', 'adversarial', 'generate', 'neural', 'generative adversarial']",Generative Adversarial Neural Networks (Deep Learning)
2,"['classification', 'learning', 'deep', 'deep learning', 'neural', 'genre', 'accuracy', 'recognition', 'genre classification', 'information']",Deep Neural Genre Classification Learning (Accuracy Recognition)
3,"['composition', 'games', 'sound', 'game', 'quantum', 'automatic', 'bgm', 'music in', 'field', 'algorithms']",Automatic Quantum Game Sound Composition Algorithms (in Field of BGM)
4,"['art', 'ai in', 'article', 'this article', 'how', 'creativity', 'creative', 'cultural', 'and the', 'composition']",AI in Artistic Creativity and Cultural Composition
5,"['therapy', 'music therapy', 'mental', 'intervention', 'health', 'emotional', 'mental health', 'treatment', 'interventions', 'care']",Mental Health Interventions through Music Therapy
6,"['multimodal', 'chinese', 'diffusion', 'video', 'dataset', 'guzheng', 'videos', 'crossmodal', 'audio', 'guzheng music']",Multimodal Chinese Video Dataset: Guzheng Music & Audio Crossing
7,"['creative', 'generative ai', 'language', 'how', 'sign', 'composition', 'cocreation', 'artistic', 'creativity', 'humanai']",Generative AI for Cocreating Artistic Language
8,"['was', 'participants', 'composed', 'an ai', 'bias', 'listeners', 'composed by', 'perception', 'composer', 'creative']",AI-Induced Bias in Creative Perception of Listeners
9,"['copyright', 'works', 'industry', 'generative ai', 'legal', 'the music', 'of copyright', 'metadata', 'article', 'rights']",Generative AI and Copyright Metadata in Music Industry
10,"['emotional', 'emotion', 'emotions', 'the emotional', 'composition', 'symbolic', 'evaluation', 'realtime', 'symbolic music', 'visualization']",Realtime Emotional Symbolic Music Visualization
11,"['live', 'user', 'live coding', 'coding', 'audio', 'space', 'embodied', 'musicians', 'gestures', 'expressive']",Embodied Live Coding for Expressive Audio Musicianship
