Topic,Keywords,Topic_Label
0,"['education', 'music education', 'students', 'learning', 'teaching', 'teachers', 'performance', 'academic', 'was', 'motivation']",Music Education Motivation in Academic Settings
1,"['deep', 'learning', 'deep learning', 'lstm', 'networks', 'network', 'adversarial', 'generate', 'neural', 'generative adversarial']",Generative Adversarial Neural Networks (Deep Learning)
2,"['classification', 'learning', 'deep', 'deep learning', 'neural', 'genre', 'accuracy', 'recognition', 'genre classification', 'information']",Deep Learning Genre Recognition Accuracy
3,"['composition', 'games', 'sound', 'game', 'quantum', 'automatic', 'bgm', 'music in', 'field', 'algorithms']",Quantum Automatic Game Sound Composition Algorithms (BGMs)
4,"['art', 'ai in', 'article', 'this article', 'how', 'creativity', 'creative', 'cultural', 'and the', 'composition']",AI in Artistic Creativity and Cultural Composition
5,"['therapy', 'music therapy', 'mental', 'intervention', 'health', 'emotional', 'mental health', 'treatment', 'interventions', 'care']",Mental Health Interventions: Music Therapy for Emotional Care
6,"['multimodal', 'chinese', 'diffusion', 'video', 'dataset', 'guzheng', 'videos', 'crossmodal', 'audio', 'guzheng music']",Multimodal Chinese Music Diffusion Video Dataset (Guzheng Audio)
7,"['creative', 'generative ai', 'language', 'how', 'sign', 'composition', 'cocreation', 'artistic', 'creativity', 'humanai']",Generative AI for Artistic Cocreation in Language
8,"['was', 'participants', 'composed', 'an ai', 'bias', 'listeners', 'composed by', 'perception', 'composer', 'creative']",AI-Based Bias in Creative Perception by Listeners
9,"['copyright', 'works', 'industry', 'generative ai', 'legal', 'the music', 'of copyright', 'metadata', 'article', 'rights']",Generative AI and Music Copyright Metadata in Industry Legal Articles
10,"['emotional', 'emotion', 'emotions', 'the emotional', 'composition', 'symbolic', 'evaluation', 'realtime', 'symbolic music', 'visualization']",Emotional Real-Time Symbolic Music Visualization
11,"['live', 'user', 'live coding', 'coding', 'audio', 'space', 'embodied', 'musicians', 'gestures', 'expressive']",Embodied Live Coding for Audio Expressive Spaces (Musicians & Gestures)
