Topic,Keywords,Topic_Label
0,"['ai', 'law', 'legal', 'criminal', 'technology', 'justice', 'digital', 'policing', 'tools', 'systems']",AI-Based Legal Systems and Technology for Criminal Justice
1,"['social', 'network analysis', 'social network', 'criminal', 'organized', 'gang', 'groups', 'violence', 'structure', 'members']",Social Criminal Network Structure Analysis (SCNSA)
2,"['recidivism', 'fairness', 'risk', 'bias', 'assessment', 'predictive', 'criminal', 'factors', 'prediction', 'justice']",Predictive Criminal Justice Fairness and Bias in Recidivism Assessment
3,"['big', 'big data', 'policing', 'of big', 'surveillance', 'police', 'new', 'analytics', 'security', 'data policing']",Data Analytics for Security and Surveillance in Policing
4,"['street', 'prediction', 'crimes', 'urban', 'spatial', 'city', 'of crime', 'crime prediction', 'theft', 'predictive']",Urban Crime Prediction (Spatial Analysis)
5,"['media', 'cyberbullying', 'social', 'social media', 'news', 'victimization', 'online', 'bullying', 'twitter', 'language']",Online Social Media Victimization Language & Behavior
6,"['malware', 'security', 'detection', 'deep', 'deep learning', 'attacks', 'intrusion', 'iot', 'traffic', 'cyber']",Deep Learning Malware Detection in IoT Security
7,"['fraud', 'financial', 'transactions', 'laundering', 'detection', 'money', 'credit', 'fraud detection', 'money laundering', 'blockchain']",Financial Transaction Detection & Money Laundering in Blockchain
8,"['language', 'text', 'legal', 'classification', 'natural language', 'language processing', 'natural', 'nlp', 'police', 'prediction']",Natural Language Legal Classification (NLP) for Police Prediction
9,"['social', 'victimization', 'bullying', 'friends', 'peer', 'friendship', 'social network', 'behavior', 'adolescents', 'students']",Social Peer Victimization Behavior among Adolescents (Students) in Social Networks
10,"['predictive', 'predictive policing', 'policing', 'of predictive', 'police', 'algorithmic', 'policing and', 'protection', 'officer', 'policing predictive']",Predictive Policing Algorithms
11,"['cybercrime', 'online', 'mining', 'web', 'social', 'forums', 'underground', 'text', 'video', 'cyber']","Underground Web Mining (Social Forums, Text, Video)"
12,"['cyber', 'cybersecurity', 'threat', 'ai', 'security', 'cyber threat', 'attack', 'cybercrime', 'attacks', 'cyberattacks']",Cybersecurity AI Threats and Attacks
13,"['detection', 'deep learning', 'deep', 'surveillance', 'video', 'abnormal', 'surveillance system', 'abnormal behavior', 'behavior', 'traffic']",Deep Learning-Based Surveillance Video Analysis
14,"['age', 'estimation', 'sex', 'sex estimation', 'radiographs', 'deep learning', 'dental', 'deep', 'forensic', 'gender']",Deep Learning Dental Sex/Age Estimation for Forensics
15,"['ai', 'forensic', 'forensics', 'digital forensics', 'digital', 'in forensic', 'xai', 'ancestry', 'experts', 'dna']",Digital Forensics & AI Expertise in Ancestry Analysis
16,"['mining', 'data mining', 'clustering', 'police', 'crime analysis', 'of crime', 'mining and', 'text', 'crimes', 'of data']",Data Mining for Crime Analysis and Text Clustering in Police Work
17,"['authorship', 'text', 'linguistics', 'arabic', 'language', 'personality', 'linguistic', 'author', 'gender', 'language processing']",Arabic Author Personality Analysis through Linguistics
18,"['smart', 'city', 'big data', 'big', 'smart city', 'analytics', 'cities', 'data analytics', 'realtime', 'smart cities']",Smart City Analytics in Realtime
19,"['language', 'language processing', 'natural language', 'natural', 'ontology', 'documents', 'digital', 'knowledge', 'nlp', 'corpus']",Digital Language Processing and Ontology Knowledge in Documents (NLP & Corpus)
20,"['deepfake', 'deep', 'images', 'fake', 'image', 'deep learning', 'detection', 'art', 'neural', 'deepfake detection']",Deep Learning-Based Deepfake Image Detection
21,"['forensic', 'postmortem', 'pathology', 'in forensic', 'forensic pathology', 'postmortem interval', 'interval', 'were', 'estimation', 'forensic odontology']",Forensic Postmortem Interval Estimation (Including Odontology)
22,"['signatures', 'quality', 'deep learning', 'deep', 'fingerprint', 'documents', 'image', 'identification', 'handwritten', 'forged']",Deep Learning Document Identification & Forgery Detection
23,"['phishing', 'malicious', 'urls', 'url', 'websites', 'emails', 'login', 'email', 'features', 'split']",Malicious URL Features for Phishing Websites and Emails
24,"['audio', 'acoustic', 'speech', 'speaker', 'speaker identification', 'deep', 'voice', 'sounds', 'detection', 'deep learning']",Deep Learning for Speaker Identification (Audio/Acoustic/Voice)
