Topic,Keywords,Topic_Label
0,"['image', 'images', 'our', 'model', 'method', 'generation', 'network', 'characters', 'character', 'style']",Image Style Generation Model (Network-based Characteristics)
1,"['media', 'production', 'japan', 'of japanese', 'article', 'global', 'cultural', 'industry', 'italy', 'this article']",Global Japanese Cultural Media Production Industry Analysis (Japan & Italy)
2,"['gender', 'characters', 'female', 'girl', 'queer', 'cosplay', 'media', 'animacy', 'magical', 'norms']",Gender Norms in Female and Queer Characters' Media Representation via Cosplay and Magical Animacy
3,"['tourism', 'pilgrimage', 'anime tourism', 'tourists', 'otaku', 'japan', 'destination', 'cultural', 'anime pilgrimage', 'contents']",Cultural Anime Tourism in Japan (Destinations)
4,"['students', 'language', 'japanese language', 'learning', 'listening', 'learners', 'education', 'and anime', 'academic', 'english']",Japanese Anime-Assisted Language Learning in Education
5,"['religious', 'cultural', 'spiritual', 'religion', 'article', 'theological', 'japan', 'one', 'oni', 'sermons']",'Japanese Religious Cultural Spiritual Theology: Oni Sermons'
6,"['art', 'series', 'limited', 'his', 'article', 'lamarre', 'manga anime', 'be', 'movement', 'limited animation']","Limited Art Series: Lamarre on Manga/Anime Movement, Limited Animation"
7,"['robot', 'robots', 'social', 'human', 'interaction', 'face', 'design', 'emotion', 'an anime', 'users']","Social Humanoid Robot Design for Emotional Interaction (Anime Influence, User-Focused)"
8,"['audio', 'recommendation', 'information', 'users', 'system', 'terms', 'retrieval', 'recommendations', 'using', 'genre']",'Audio Genre-Based User Recommendation System'
9,"['reality', 'mecha', 'technology', 'robot', 'robot anime', 'virtual', 'lain', 'virtual reality', 'anime wong', 'wong']",Virtual Mecha Technology in Anime
10,"['cultural', 'community', 'moral', 'digital', 'youth', 'identity', 'fans', 'media', 'consumption', 'ethical']",Digital Youth Identity & Ethics in Cultural Communities (Media Fandom)
11,"['fan', 'fandom', 'cultural', 'fansubbing', 'consumption', 'cultural consumption', 'subtitling', 'conventions', 'fans', 'fansubs']",Cultural Fansubbing & Consumption
12,"['problematic', 'online anime', 'online', 'were', 'watching', 'parents', 'teenagers', 'consumers', 'use', 'children']",Online Anime Consumption: Parental Impact on Teenagers
